Index,LCSC#,MPN,Manufacturer,Package,,,,Quantity,MOQ,,Unit Price($),Extended Price($),Product Link
40,,JLCPCB SHIPPING,,,,,,,,,14.85,14.85,
41,,LCSC SHIPPING,,SINGAPORE POST,,,,,,,13.29,13.29,
42,,ALIEXPRESS SHIPPING,,,,,,,,,FREE,Banger,
43,,Top Plate 1.2mm with dummy 8.8block which I will later sand in,,,,,,,,,Printing Legion,,
44,,BACK CASE ,,,,(PRINTING LEGION),,(BRO ALLOT ME SOME .PEOPLE NEED SHIPPING CHARGE TO SEND TO MY PLACE. WE HAVE NONE),,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,Total,,,,,159.23,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
